never talk to me again,0,,
I am proud of your achievements,1,,
It is the worst day in my life,0,,
Miss you so much,1,, [0]
food is life,1,,
I love you mum,1,,
Stop saying bullshit,0,,
congratulations on your acceptance,1,,
The assignment is too long ,0,,
I want to go play,1,, [3]
she did not answer my text ,0,,
Your stupidity has no limit,0,,
how many points did he score,1,,
my algorithm performs poorly,0,,
I got approved,1,,
Stop shouting at me,0,,
Sounds like a fun plan ha ha,1,,
no one likes him,0,,
the game just finished,1,, [2]
I will celebrate soon,1,,
So sad you are not coming,0,,
She is my dearest love,1,, [1]
Good job,1,, [4]
It was funny lol,1,,
candy is life ,1,,
The chicago cubs won again,1,,
I am hungry,1,,
I am so excited to see you after so long,1,,
you did well on you exam,1,,
lets brunch some day,1,,
he is so cute,1,,
How dare you ask that,0,,
do you want to join me for dinner ,1,,
I said yes,1,,
she is attractive,1,,
you suck,0,,
she smiles a lot,1,,
he is laughing,1,,
she takes forever to get ready ,0,,
French macaroon is so tasty,1,,
we made it,1,,
I am excited,1,,
I adore my dogs,1,,
Congratulations,1,,
this girl was mean,0,,
you two are cute,1,,
my code is working but the grader gave me zero,0,,
this joke is killing me haha,1,,
do you like pizza ,1,,
you got a down grade,0,,
I missed you,1,,
I think I will end up alone,0,,
I got humiliated by my sister,0,,
you are awful,0,,
I cooked meat,1,,
This is so funny,1,,
lets exercise,1,,
he is the best player,1,,
I am going to the stadium,1,, [0]
You are incredibly intelligent and talented,1,,
Stop shouting at me,0,,
Who is your favorite player,1,,
I like you a lot,1,,
i miss him,1,,
my dog just had a few puppies,1,,
I hate him,0,,
I want chinese food,1,,
cookies are good,1,,
her smile is so charming,1,,
Bravo for the announcement it got a lot of traction,1,, [3]
she plays baseball,1,,
he did an amazing job,1,,
The baby is adorable,1,,
I was waiting for her for two hours ,0,,
funny,1,,
I like it when people smile,1,,
I love dogs,1,,v2
they are so kind and friendly,1,, [0]
So bad that you cannot come with us,0,,
he likes baseball,1,,
I am so impressed by your dedication to this project,1,,
I am at the baseball game,1,, [0]
Bravo,1,,
What a fun moment,1,,
I want to have sushi for dinner,1,,
I am very disappointed,0,,
he can not do anything,0,,
lol,1,,
Lets have food together,1,,
she is so cute,1,,
miss you my dear,1,, [6]
I am looking for a date,1,,
I am frustrated,0,,
I lost my wallet,0,,
you failed the midterm,0,,
ha ha ha it was so funny,1,,
Do you want to give me a hug,1,,
who is playing in the final,1,,
she is happy,1,,
You are not qualified for this position,0,,
I love my dad,1,,
this guy was such a joke,1,,
Good joke,1,,
This specialization is great,1,,
you could not solve it,0,,
I am so happy for you,1,,
Congrats on the new job,1,,
I am proud of you forever,1,,
I want to eat,1,,
That catcher sucks ,1,,
The first base man got the ball,1,,
this is bad,0,,
you did not do your homework,0,,
I will have a cheese cake,1,,
do you have a ball,1,,
the lectures are great though ,1,,
Are you down for baseball this afternoon,1,,
what are the rules of the game,1,,
I am always working,0,,
where is the stadium,1,,
She is the cutest person I have ever seen,1,, [4]
vegetables are healthy,1,,
he is handsome,1,,
too bad that you were not here,0,,
you are a loser,0,,
I love indian food,1,,
Who is down for a restaurant,1,,
he had to make a home run,1,,
I am ordering food,1,,
What is wrong with you,0,,
I love you,1,,
great job,1,,
